Notes,FilenameRoot,Identifier,MediaType,Format,Title,Alternate Title,Creator,Creator Role,Contributor,Contributor Role,Provider/Publisher,Description/Summary,Date Attribute,Date or Date range,Extent,Geographic coverage,Subject,Subject URIs,Temporal Coverage,Language,Archival Collection,AccessionNumber,Series,Subseries,Box,Folder,Item,Rights Holder,Rights,CorpSubject,CorpSubject URI,PersonalSubject,PersonalSubject URI,Shipment Box,Returned in Box,Reshelved,Filename from vendor,Filename adjustment,Changed on Drive,InspectionNotes,RequestedActions,DateAndInitials,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062509,aflcio_rg9_003_Box38_Folder25,Text,,"Black Labor Coalition, 1965-1975",,,,,,,"Brotherhood Sleeping car porters, Jerimiah Grandson, Samuel Gompers, John L. Lewis, Congressional Record reprints & testimony July 1971, Roy Wilkins, William Schnitzler, Don Slaiman, magazine articles, Adam Clayton Powell, International Ladies Garmet Union, Martin Luther King and right to work legislation in Oklahoma City, Oklahoma City Times, 1965 Living Wage, Clarence MItchell, Ku Klux Klan, John Birch Society, Brotherhood of Painters, Decorators, and Paperhangers, Frank Raftery",,1965-1975,134,,,,,,aflcio_rg9_003,,,,38,25,,,,,,,,Labor_Box1,2,yes,,,,,,,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062510,aflcio_rg9_003_Box38_Folder26,Text,,Black Leadership Roundtable Meeting March 1978,,,,,,,"Summary memo of meeting, Perrin MItchell, Augustus Hawkins, Charles Diggs, Clarence Mitchell, Norman Hill, Walter Faunteroy, Full Employment Bill, Hubert Humphrey Comprehensive Employment Training Act, Kent Amos, James Brown, Joan Riggs, Ron Walters, Wesley Young, testimony and lobbying for Congress, Bayard Rustin, black turnout for Carter/Ford election, daniel patrick moynihan, david dinkins",,1978,112,,,,,,aflcio_rg9_003,,,,38,26,,,,,,,,Labor_Box1,2,yes,,,,,,,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062511,aflcio_rg9_003_Box38_Folder27,Text,,Black Panther Party 1973,,,,,,,"Bobby Seal, Senator Kennedy, Roger Wilkins, Jonathan Jackson, Angela Davis, Huey Newton, Marion County Courthouse shooting, Ronald Reagan, Solidad, San Quinton Prison, Ossie Davis, Dick Gregory, Committee to Defend the Panthers, Commentary publication",,1973,22,,,,,,aflcio_rg9_003,,,,38,27,,,,,,,,Labor_Box1,2,yes,,,,30pp,,08282018CSP,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062512,aflcio_rg9_003_Box38_Folder28,Text,,"Black Politicians, 1972-1974",,,,,,,"National Black Political Convention in Little Rock, AK. Ron Dellums, John Conyers, opposition to Israel, list of VIPs - politicians, union officials, orgazaition heads, list of black delegates to 1972 Democratic Convention",,1972-1974,54,,,,,,aflcio_rg9_003,,,,38,28,,,,,,,,Labor_Box1,2,yes,,,,,,,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062513,aflcio_rg9_003_Box38_Folder29,Text,,Black Power 1969,,,,,,,"Black political forum, Center Magazine, Stokely Carmichael, Marcus Garvey, James Lawson and Harlem Council for Economic Development, Claud Lightfoot, Communist party",,1969,123,,,,,,aflcio_rg9_003,,,,38,29,,,,,,,,Labor_Box2,2,yes,,,,,,,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062514,aflcio_rg9_003_Box38_Folder30,Text,,Black Trade Union Conferences 1968 - 1970,,,,,,,"Recruitment guide for more black leadership in trade unions, getting black voters to the polls in interest of labor, conference notes in LA, Chicago, Atlanta, San Francisco, Florida in July and August of 1968, King and Kennedy's assassination references, telegrams,",,1968-1970,350,,,,,,aflcio_rg9_003,,,,38,30,,,,,,,,Labor_Box2,2,yes,,,,,,,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062515,aflcio_rg9_003_Box38_Folder31,Text,,Black Trade Unionists Leadership Committee Annual Awards 1976,,,,,,,"Wayne Kirkland, John Burnell, membership info and roles,",,1976,16,,,,,,aflcio_rg9_003,,,,38,31,,,,,,,,Labor_Box2,2,yes,,,,14pp,,08282018CSP,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062516,aflcio_rg9_003_Box38_Folder32,Text,,Black Trade Unionists Leadership Committee Annual Awards 1978,,,,,,,"membership info and awards, membership lists",,1978,21,,,,,,aflcio_rg9_003,,,,38,32,,,,,,,,Labor_Box2,2,yes,,,,,,,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062517,aflcio_rg9_003_Box38_Folder33,Text,,Black Trade Unionists Leadership Committee Annual Awards 1980,,,,,,,"correspondence, protest documentation, Ebony magazines from the late 60s, articles about protests, Benjamin Banneker,",,1980,136,,,,,,aflcio_rg9_003,,,,38,33,,,,,,,,Labor_Box2,2,yes,,,,,,,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062518,aflcio_rg9_003_Box38_Folder34,Text,,Black Trade Unionist Leadership Education Conference 1977,,,,,,,,,1977,165,,,,,,aflcio_rg9_003,,,,38,34,,,,,,,,Labor_Box2,2,yes,,,,,,,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062519,aflcio_rg9_003_Box39_Folder1,Text,,"Black Trade Unionists Leadership Committee Education Conference, August 1977",,,,,,,"phamphlettes by Rustin, Norman Hill, supporting ERA, seniority and racial progress, correspondence, AP Randolph pamphlettes, Black Trade Unionist leadership 1977, conference notes, Silver Spring, MD, legal analysis, memos, Title VII and Civil Rights Act 1975, 1977 AFLCIO Council meetings, crime and criminal justice, layoffs and civil rights",,1977,71,,,,,,aflcio_rg9_003,,,,39,1,,,,,,,,Labor_Box2,3,yes,,,,76pp,,08282018CSP,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062520,aflcio_rg9_003_Box39_Folder2,Text,,"Black Trade Unionists Leadership Committee Education Conference, August 1978",,,,,,,"William Pollard correspondence and remarks, 1978 Education Conference BTULC, Gloster B. Current correspondence, workshop & statement on Bakke/Affirmative Action (Los Angeles), Cal Labor Fed Stmt of Policy",,1978,86,,,,,,aflcio_rg9_003,,,,39,2,,,,,,,,Labor_Box2,3,yes,,,,,,,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062521,aflcio_rg9_003_Box39_Folder3,Text,,Black Trade Unionists Leadership Committee Education Conference August 1978,,,,,,,"Program of 1978 conference, remarks by William Pollard, equal opportunity, sex discrimination, ERA, program, American Federationist reprints (Black workers, Youth employment, College education, Inflation),Human Resources Development Institute lit (including Performing Arts)",,1978,69,,,,,,aflcio_rg9_003,,,,39,3,,,,,,,,Labor_Box2,3,yes,,,,,,,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062522,aflcio_rg9_003_Box39_Folder4,Text,,Black Trade Unionists Leadership Committee Education Conference June 1977,,,,,,,"Pollard correspondence, Burnell correspondence (incl letters to President Carter), Charles Faulding correspondence, William Robertson correspondence, List of Union Officials, program, handwritten notes, pamphlets (AFL, APRI, NAACP, HRDI, Labor Council for Latin American Advancement, Full Employment Action ), Exec council statement, Title VII, Criminal Justice, clippings and statements, correspondence & copy of a check",,1977,126,,,,,,aflcio_rg9_003,,,,39,4,,,,,,,,Labor_Box2,3,yes,,,,,,,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062523,aflcio_rg9_003_Box39_Folder5,Text,,Black Trade Unionists Leadership Committee Education Conference March 1978,,,,,,,"Burrell correspondence, Pollard remarks, notes",,1978,24,,,,,,aflcio_rg9_003,,,,39,5,,,,,,,,Labor_Box2,3,yes,,,,23pp,,08282018CSP,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062524,aflcio_rg9_003_Box39_Folder6,Text,,Black Universities and Colleges 1970 - 1973,,,,,,,"Filimon D Kowtoniuk correspondence(HBCU), legal correspondence, clippings, statements Kowtoniuk case, List of HBCU Presidents, Directory of HBCUs",,1970-1973,125,,,,,,aflcio_rg9_003,,,,39,6,,,,,,,,Labor_Box2,3,yes,,,,,,,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062525,aflcio_rg9_003_Box39_Folder9,Text,,"Black Voter Participation, 1976",,,,,,,"E. D. LeRoy correspondence, Rustin column, clippings,Crime Symposium Program (Joint Center), Operation Big Vote, National Coalition on Blakc Voter PArticipation, Operation PUSH, NUL, NAACP, Agenda, report, releases, Bricklayers Local 74, Budget, 1976 Conf APRI program, AHCBVP coalition lists, 1976 DNC reception invite, coalition Apr 24 March on Boston, NAACP Voter Registration Material from Birmingham",,1976,151,,,,,,aflcio_rg9_003,,,,39,9,,,,,,,,Labor_Box2,3,yes,,,,,,,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062526,aflcio_rg9_003_Box39_Folder10,Text,,"Black Voter Participation, 1976-1977",,,,,,,"Eddie Williams remarks, NCBVP meeting minutes & attendees, Andrew Biemiller statement (electoral college abolishment), reports, leaflets, agendas, inaugural invitation list, questionnaire, Focus 5(9), clippings",,1976-1977,107,,,,,,aflcio_rg9_003,,,,39,10,,,,,,,,Labor_Box2,3,yes,,,,,,,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062527,aflcio_rg9_003_Box39_Folder11,Text,,"Blacks in Building Trades, October 1980",,,,,,,"Relations between building Trades, minorities, and women",,1980,33,,,,,,aflcio_rg9_003,,,,39,11,,,,,,,,Labor_Box2,3,yes,,,,some crooked pages but readable,,08282018CSP,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062528,aflcio_rg9_003_Box51_Folder27,Text,,"MLK, Jr. 1956-1967",,,,,,,"Address by MLK to NAACP Convention 1956, pamphlet, picket invite, SCLC fundraising letters (w Harry Belafonte), Slaiman letter on American Foundation on Nonviolence, Alabama boycott telegrams and letters, Workers Defense League, memoranda, 1965 King dinner, clippings, Letter from a Birmingham Jail, Gandhi Society",,1956-1967,215,,,,,,aflcio_rg9_003,,,,51,27,,,,,,,,Labor_Box2,4,yes,,,,,,,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062529,aflcio_rg9_003_Box52_Folder1,Text,,"Civil Rights Department. Records, 1946-2000",,,,,,,"Martin Luther, King Jr., Coretta Scott King, National Committee for Full Emplyment, United Steelworkers of America, Murray H. Finley, Southern Christian Leadership Council, Cesar Chavez",,1946-2000,38,,,,,,aflcio_rg9_003,,,,52,1,,,,,,,,Labor_Box2,1,yes,,,,,,,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062530,aflcio_rg9_003_Box52_Folder4,Text,,"Martin Luther King, Jr. Center for Social Change, 1976-1979",,,,,,,"Martin Luther King, Jr., Coretta Scott King, Committee for Full Employment, International Union of Operating Engineers, Fundraising for Freedom Hall at the MLK Center for Social Change, Associated Actors and Artistes of America,",,1976-1979,16,,,,,,aflcio_rg9_003,,,,52,4,,,,,,,,Labor_Box2,1,yes,,,,,,,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062531,aflcio_rg9_003_Box52_Folder6,Text,,"Martin Luther King, Jr. Center for Social Change Labor Management Awards 1980",,,,,,,"Martin Luther King, Jr. Center for Social Change, George Meany, Full Employment Conference, Hubert Humphrey, A. Phillip Randolph,",,1980,81,,,,,,aflcio_rg9_003,,,,52,6,,,,,,,,Labor_Box2,1,yes,,,,75pp,,08292018CSP,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062532,aflcio_rg9_003_Box53_Folder1,Text,,"MLK, Jr. Assassination, Center for Social Change, Federal Holiday Commission, King Week, etc. 1985",,,,,,,"Correspondence, financial reports, MLK, JR. Federal Holiday Commission/Corporation meeting October 1995, White House remarks, bills payment records, lists of members with contact information, bylaws, memos, King Day pamphlets,",,1985,209,,,,,,aflcio_rg9_003,,,,53,1,,,,,,,,Labor_Box2,3,yes,,,,,,,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062533,aflcio_rg9_003_Box54_Folder8,Text,,Minority Banks 1968-1971,,,,,,,"Plans to deposit union funds in minority-owned banks,correspondence, pamphlets, reports",,1968-1971,59,,,,,,aflcio_rg9_003,,,,54,8,,,,,,,,Labor_Box2,1,yes,,,,,,,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062534,aflcio_rg9_003_Box54_Folder9,Text,,Minority Contractors Meeting March 1979,,,,,,,"Correspondence, notes (LIUNA, APRI)",,1979,8,,,,,,aflcio_rg9_003,,,,54,9,,,,,,,,Labor_Box2,1,yes,,,,,,,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062535,aflcio_rg9_003_Box54_Folder10,Text,,Minority Contractors Meeting February 1977,,,,,,,"Notes, EO 11625",,1977,18,,,,,,aflcio_rg9_003,,,,54,10,,,,,,,,Labor_Box2,1,yes,,,,17pp,,08292018CSP,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062536,aflcio_rg9_003_Box54_Folder11,Text,,"Minority Investments, Inc. 1971",,,,,,,"Cover letter, prospectus (MESBIC)",,1974-1975,53,,,,,,aflcio_rg9_003,,,,54,11,,,,,,,,Labor_Box2,1,yes,,,,,,,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062537,aflcio_rg9_003_Box54_Folder12,Text,,"Minority Legislative Education Program, 1974-1975",,,,,,,"Correspondence (Andrew Young, LIU), Proposal (APRI), memoranda",,1974-1975,38,,,,,,aflcio_rg9_003,,,,54,12,,,,,,,,Labor_Box2,1,yes,,,,39pp,,,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062538,aflcio_rg9_003_Box54_Folder13,Text,,"Minority Testing, 1965-1976",,,,,,,"NAACP Report (1976), Article, Press Releases",,1965-1976,72,,,,,,aflcio_rg9_003,,,,54,13,,,,,,,,Labor_Box3,1,yes,,,,,,,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062539,aflcio_rg9_003_Box54_Folder14,Text,,"NAACP-AFSCME Local 1707 Negotiations, 1982-1983",,,,,,,"Contract language and drafts, notes, 1983 budget proposal; Ben Hooks, William Pollard",,1982-1983,192,,,,,,aflcio_rg9_003,,,,54,14,,,,,,,,Labor_Box3,1,yes,,,,193pp,,08292018CSP,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062540,aflcio_rg9_003_Box54_Folder15,Text,,"NAACP-AFSCME Local 1707 Negotiations, 1982-1983",,,,,,,"Budget proposal, Contract language drafts, memoranda, notes, clippings (PII -- SSNs included for NAACP staff)",,1982-1983,167,,,,,,aflcio_rg9_003,,,,54,15,,,,,,,,Labor_Box3,1,yes,,,,,,,,,,
